id,country,manufacturer,item
764,Germany,Company B,Car
621,Germany,Company C,Keyboard
169,USA,Company A,Car
801,Italy,Company B,T-shirt
14,USA,Company A,Keyboard
286,Germany,Company A,Car
956,Germany,Company B,Car
880,Germany,Company D,Keyboard
946,Italy,Company C,Car
271,Italy,Company B,Car
415,Italy,Company B,T-shirt
493,Italy,Company C,Keyboard
285,Russia,Company C,Keyboard
371,USA,Company D,T-shirt
709,Germany,Company D,Car
286,Russia,Company A,T-shirt
162,Russia,Company D,Car
841,USA,Company D,Car
464,Russia,Company A,T-shirt
995,Russia,Company B,T-shirt
709,USA,Company A,Car
827,Italy,Company C,Keyboard
809,Germany,Company B,Car
925,Italy,Company B,T-shirt
543,Germany,Company A,Keyboard
184,Russia,Company C,T-shirt
288,Russia,Company D,Car
603,USA,Company D,T-shirt
447,Italy,Company B,T-shirt
412,Russia,Company C,T-shirt
219,Germany,Company B,Car
947,USA,Company A,T-shirt
272,Germany,Company B,Car
178,Russia,Company D,Keyboard
607,Italy,Company B,T-shirt
776,Italy,Company B,Keyboard
483,Germany,Company B,Keyboard
445,Russia,Company A,T-shirt
742,Russia,Company D,T-shirt
113,Russia,Company C,Car
608,Russia,Company A,Car
388,Germany,Company A,Keyboard
212,Russia,Company D,Keyboard
55,USA,Company B,Keyboard
566,Russia,Company A,T-shirt
395,Russia,Company A,Car
214,Germany,Company D,T-shirt
247,USA,Company B,Keyboard
312,Italy,Company A,T-shirt
376,Italy,Company A,T-shirt
