id,country,manufacturer,item
48,Germany,Company B,T-shirt
206,Italy,Company B,Car
500,Italy,Company D,Keyboard
494,Italy,Company D,Car
205,Germany,Company C,Car
215,Germany,Company B,Keyboard
990,Russia,Company C,Car
955,Russia,Company C,Keyboard
724,Italy,Company B,T-shirt
122,Germany,Company C,T-shirt
339,Germany,Company B,Car
72,Germany,Company D,Car
731,Russia,Company C,Keyboard
104,Italy,Company B,Car
713,Italy,Company C,Car
52,Italy,Company B,Car
888,Russia,Company A,Car
578,Russia,Company C,Keyboard
933,Russia,Company A,T-shirt
927,Germany,Company C,T-shirt
246,Germany,Company D,Keyboard
599,Russia,Company D,Car
427,Italy,Company D,Keyboard
570,Germany,Company D,Keyboard
781,Russia,Company C,T-shirt
311,Germany,Company C,Car
582,Italy,Company D,Car
823,USA,Company C,Car
613,Germany,Company B,Car
415,Italy,Company B,Keyboard
702,USA,Company B,Keyboard
490,Italy,Company A,Keyboard
38,Germany,Company D,T-shirt
480,USA,Company C,Keyboard
611,Italy,Company B,T-shirt
746,Italy,Company A,T-shirt
153,Italy,Company B,T-shirt
548,Italy,Company A,T-shirt
927,Italy,Company D,T-shirt
592,USA,Company C,T-shirt
458,Italy,Company B,Car
656,Italy,Company B,T-shirt
98,Germany,Company A,Car
695,USA,Company C,Car
406,Italy,Company D,Car
155,Germany,Company A,T-shirt
332,Russia,Company A,T-shirt
664,USA,Company D,Car
723,USA,Company D,Keyboard
588,Germany,Company D,Car
